,property_id,property_name,hotel_description,address,point_of_interest,city,state,country,latitude,longitude,property_type,hotel_star_rating,hotel_facilities,room_facilities
725,H000353,Discovery Village Nandi Foot Hills,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,"Near Kanive Nandishwara Temple, Nandi Foot hills, Nandi post, Nandi Hobli, Chikballapur - 562103 Karnataka India","['Others', 'Kempegowda International Airport', 'Devanahalli Fort']",Bangalore,Karnataka,India,13.2578980644,77.7164140844,Resort,1,"['Non Smoking Rooms', 'Parking Facilities Available', 'Smoking Rooms', 'Extra Person / Child - Share the same room', 'Outdoor Parking - Secured', 'Parking Facility', 'Room Service']","['Room Service ', 'Air Conditioning ', 'Bathrobe (on request) ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan']"
727,H000354,Forest Haven Resort,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly **** Compulsory Supplement Charges to be paid **** Hotel May Charge the supplementary Amount For Gala Dinner On Christmas And New Year Evening.  There will be season hike for Oct/Nov/Dec Rs.1000 per Room/Per night will be payable directly at the hotel at the time of check-in,"Vattiyar P.O. Mankulam Road,Kallar, Munnar","['Others', 'Rose Garden']",Munnar,Kerala,India,10.0407012,76.9831336,Resort,3,"['Laundry Service Available', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', '24 Hour Front Desk', 'Coffee Shop / Cafe', 'Conference Facility ', 'Kids Play Zone', 'Campfire / Bon Fire', 'Room Service (24 Hours)']","['Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Safe - In - Room ', 'Attached Bathroom']"
728,H000355,Dream Catcher Plantation,The standard check-in time is 01:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Compulsory CHRISTMAS and NEW YEAR EVE SUPPLEMENTARY CHARGES @ Rs.2500/ PER PERSON WITH GALA DINNER AND EVE PROGRAMS AND ARE APPLICABLE FOR CHILDREN AGED ABOVE 6 YEARS which shall be collected at the time of Check/in.,"Baison valley road, Tea company P O Munnar",['Bison Valley Road'],Munnar,Kerala,India,9.9971124888,77.0882727162,Resort,3,"['Barbecue Area', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', 'Medical Assistance Available', 'Welcome Drinks', 'Power Backup', 'Gardens', 'Wake-up Call / Service', 'Coffee Shop / Cafe', 'Vegetarian Food / Jain Food Available', 'Food Facility', 'Newspapers In Lobby', 'Guide / Sightseeing Service', 'Parking Facility', 'Room Service', 'Trekking', 'CCTV', 'Paid Transfers']","['Balcony / Terrace', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Telephone', 'Shower Facility Available', ' Hot / Cold Running Water', 'Hill View from all Rooms', 'Wardrobe', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', 'Mirror', 'Luggage Rack']"
729,H000356,Dom Pedros Haven,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly non refundable,"Near Kenilworth Hotel, before hotel Royal Orchid utorda beach road,Utorda Goa","['Cansaulim Railway Station', 'Majorda Railway Station', 'Majorda Beach', 'Betalbatim']",Goa,Goa,India,15.3207155,73.9022469,Resort,0,"['Swimming Pool', 'Bar / Lounge ', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', '24 Hour Front Desk', 'Welcome Drinks', 'Power Backup', 'Gardens', 'Poolside Bar', 'Open Air Restaurant / Dining ', 'Vegetarian Food / Jain Food Available', 'Pool Cafe', 'Outdoor Parking - Secured', 'Parking Facility', 'Restaurant', 'Room Service', 'Porter Services Available', 'Speciality Restaurant']","['Room Service ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Housekeeping']"
731,H000357,Exotic Naturals Guest House,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,"25, Ganj Road, Shimla Gpo,  Mahamaya Hotel  Gurdwara","['Jakhoo Temple', 'Chadwick Falls', 'Scandal Point', 'Gaiety Heritage Cultural Complex', 'Kufri', 'Shimla Airport', 'Shimla Railway Station', 'Military Hospital', 'Regional Cancer Hospital', 'Rippon Hospital', 'Ridge']",Shimla,Himachal Pradesh,India,31.1048145,77.1734033,Hotel,0,"['Doctor on Call', 'Parking Facilities Available', 'Front Desk', 'Room Service', 'First-Aid Kit at Front Desk']","['Room Service ', 'Alarm Clock', 'Mirror', 'Attached Bathroom', 'Dustbins']"
733,H000358,Gaba Hotel,The standard check-in time is 09:00 AM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. All guests requested to carry Valid ID proof for Check Inn. 2. Couple Guests with Local ID's are not allowed to check inn.,"Opp. Hindu College Parking, Near Gole Market, Gohana Road, Sonipat (Hr.) Mob.: 9466348483","['Mosque of Abdullah Nasir-ud-din', 'Khwaja Khizr Tomb', 'Rohtak Road']",Sonipat,Haryana,India,28.9937720762,77.0142041286,Lodge,0,"['Doctor on Call', 'Internet Access - Surcharge', 'Parking Facilities Available', 'Medical Assistance Available', 'Welcome Drinks', 'Power Backup', 'Food Facility', 'Restaurant', 'Room Service']","['Room Service ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Mineral Water', 'TV', 'Sufficient Lighting', 'Breakfast chargeable']"
734,H000359,ELITE INN,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotels may not allow local residents to check-in as guests. Hotels reserve the right of admission. Unmarried/unrelated couples may not be allowed to check in. The primary guest must be at least 18 years old to be able to check into the hotel. Check in time and check out time is as per hotel policy terms. Early check in or late check out request is subject to availability and the hotel might charge extra for it. Please note that the check in time is subject to change as per hotel policy seasonality. Your stay does not include additional personal expenses like telephone charges, meals that are not part of the meal plan, any hotel services used (like laundry and room service) or tips. The hotel will charge directly for these at the time of check out.  It is mandatory for guests to present valid photo identification at the time of check in. According to government regulations, a valid Photo ID has to be carried by every person above the age of 18 staying at the hotel. The identification proofs accepted are Drivers License, Voters Card, and Passport. Without valid ID the guest will not be allowed to check in. NOTE: PAN Cards will not be accepted as a valid ID card.  Hotels may charge a mandatory meal surcharge on festive periods e.g. Christmas, New Year Eve etc. All additional charges (including mandatory meal surcharges) need to be cleared directly at the hotel.","G041 ,Elite Inn, Maharishi Dayanand Arya Vidyalaya, Shiv Par",['Gurudwara Road'],Durg,Chhattisgarh,India,21.1913742463,81.2717093155,Hotel,2,"['Currency Exchange', 'Internet Access - Surcharge', 'Front Desk', 'Local Tour / Travel Desk', 'Fax Machine', 'Open Air Restaurant / Dining ', 'Parking (Surcharge)', 'Room Service']","['Room Service ', 'Ceiling Fan', 'Telephone', 'Newspapers', 'TV', 'Attached Bathroom']"
736,H000360,Fantasy Golf Resort,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Guest should carry Government Issued Photo Id Proof to be provided at the reception of all occupants staying in the room, as per the rules of the Indian Government. Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.","Opp ITC (Mc Donalds), New Airport Road Next to Kempegowda Bengaluru International Airport, Setigere","['Lal Bagh Botanical Garden', 'Cubbon Park', 'M.G. Road', 'Vidhana Soudha', 'Airport', 'City Centre', 'Cantonment Railway Station', 'Garuda Mall', 'Race Course Road', 'Bangalore Palace', 'Forum Shopping Complex', 'Nandi hills', 'City Railway Station', 'Doddajala Post office', 'Jain Temple', 'Saibaba Ashram', 'Bangalore Airport', 'Hebbal Flyover', 'ITC Devanahalli', 'Kempegowda International Airport']",Bangalore,Karnataka,India,13.1880116,77.6524716,Resort,3,"['Swimming Pool', 'Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Bar / Lounge ', 'Barbecue Area', 'Basketball Court ', 'Billiards', 'Business Center ', 'Dry Cleaning', 'Games Zone', 'Internet Access - Surcharge', 'Laundry Service Available', 'Multi Cuisine Restaurant ', 'Table Tennis', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Power Backup', 'Gardens', 'Wedding Services Facility', 'Wake-up Call / Service', 'Conference Facility ', 'Poolside Bar', 'Nature Walk', ' Bike on Rent', 'Village Visit ( Chargeable )', 'Car Rental', 'Kids Play Zone', 'Badminttion Court', 'Board Room', 'Campfire / Bon Fire', ' Drivers Rest Room', 'Outdoor Parking - Secured', 'Parking Facility', 'Room Service']","['Air Conditioning ', 'Alarm Clock', 'Cable / Satellite / Pay TV available', 'Newspapers', ' Hot / Cold Running Water', 'Attached Bathroom']"
737,H000361,Executive Comfort (Mylapore),The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly It is mandatory for guests to present valid photo identification at the time of check-in. Payment with Debit Card/Credit Card will attract service charges as applicable. Hotel check in and check out time: 12:00PM,"9/1, Anandapuram (Near Dr. Ranga Road),Mylapore","['German Consulate General', 'Consulate Of Korean', 'Greenways Road MRTS Station', 'Consulate Of Japan', 'Consulate General of Malaysia', 'Switzerland Consulate', 'Oberoi Hotel', 'US Consulate', 'e-con Systems India Private Limited', 'Gemini Fly over', 'Consulate General of the Republic of Korea in Chennai', 'Australian Consulate-General', 'Honorary Consulate of Ireland', 'Aalayamman Bus Stop', 'Russian Consulate', 'Anna University', 'Thousand Lights Mosque', 'Valluvar Statue', 'U.S. Consulate General, Chennai', 'Consulate Of Singapore', 'Mylapore', 'Mundakakanni Amman Kovil Railway Station', 'Arulmigu Kapaleeswarar Temple']",Chennai,Tamil Nadu,India,13.0338190663,80.2593426365,Hotel,1,"['Laundry Service Available', 'Parking Facilities Available', 'Front Desk', '24 Hour Front Desk', 'Internet Access Free', 'Newspapers In Lobby', 'Room Service (24 Hours)', 'Restaurant']","['Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available']"
738,H000362,Executive Inn,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"P/16, MIDC, Opp. Taloja Post Office, Dena Bank, Taloja",['Navi Mumbai Area'],Navi Mumbai,Maharashtra,India,19.0679241,73.1080243,Hotel,0,"['Doctor on Call', 'Laundry Service Available', 'Room Service (24 Hours)', 'Parking Facility', 'Internet Access']","['Room Service ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', ' Hot / Cold Running Water', 'HD / LCD Satellite TV ', 'Attached Bathroom']"
740,H000363,DEVENTURE HOTEL,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Guests must report any loss of or damage to their property immediately on discovery to the Hotel  Reception or other appropriate staff members, and shall make themselves available to assist with any reports made by the hotel to the police.","NAMESTE CHOWK, NH-1","['Karnal', 'Karnal Lake', 'Karnal Fort', 'Pukka Pul', 'Cantonment Church Tower']",Karnal,Haryana,India,29.6704762,76.9914756,Hotel,3,"['Doctor on Call', 'Lobby', 'Front Desk', 'Local Tour / Travel Desk', 'Power Backup', 'Room Service (24 Hours)', 'RO Water Purification System', 'Room Service']","['Room Service ', 'Air Conditioning ', 'Alarm Clock', 'Basic Bathroom Amenities', 'Ceiling Fan', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Window Opens', 'Attached Bathroom']"
741,H000364,Devraj Villa - A Boutique Home Stay,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge supplement charges on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. There may be additional charges and taxes applicable.,"119-D, Shikarbadi Colony, Goverdhan Villas, Udaipur- 313002 (Rajasthan)","['The Oberoi Udaivilas Hotel', 'Udai Pol', 'Delhi Darwaza', 'Hiran Magri', 'Udaipur Railway Station', 'Udaipur Bus Stand', 'Bada Mahal', 'Lake Palace']",Udaipur,Rajasthan,India,24.5528069732,73.6865836539,BnB,0,"['Doctor on Call', 'Internet Access - Surcharge', 'Laundry Service Available', 'Parking Facilities Available', 'Local Tour / Travel Desk', 'Welcome Drinks', 'Power Backup', 'Gardens', 'Dance Performances (on demand)', 'Nature Walk', 'Veranda', 'Horse Ride ( Chargeable ) ', 'Car Rental', 'Newspapers In Lobby', 'Guide / Sightseeing Service', 'Outdoor Parking - Secured', 'Parking Facility']","['Alarm Clock', 'Balcony / Terrace', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Ensuite / Private Bathroom', 'Heating Facility (on request) ', 'Tea Coffee Kettle / Maker', 'Mineral Water', ' Hot / Cold Running Water', 'Breakfast Available', 'Toiletries', 'Makeup / Shaving Mirror', 'Premium Amenities / Toiletries', 'Moisturiser', 'Hill View from all Rooms', 'Wardrobe', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', ""Split A.C's"", 'Mirror', 'Mini Refrigerator']"
743,H000365,Executel  Greenlands,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly According to government regulations, a valid Photo ID has to be carried by every person who stays at the hotel. The identification proofs accepted are Drivers License, Voters Card, Passport, Ration Card. Without valid ID the guest will not be allowed to check in. Note- PAN Cards will not be accepted as a valid ID card.   *   It is mandatory for guests to present valid photo identification at the time of check-in.   *   The primary guest checking in to the hotel must be at least 21 years of age.   *   The hotel reserves the right of admission. Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.   *   The hotel reserves the right of admission for local residents. Accommodation can be denied to guests residing in the same city.   *   Local ID proof will not be valid.","HNo 6-3-1216/6/1, Subbamma Towers, Kundan Bagh, Beside Life Style Building Lane, Begumpet","['Shilparamam', 'Charminar', 'Golconda Fort', 'Mecca Masjid', 'Hussein Sagar Lake', 'Hyderabad Central', 'Jalavihar Park', 'Big Cinema', 'Hussain Sagar', 'GVK ONE', 'Begumpet Railway Station', 'Begumpet']",Hyderabad,Andhra Pradesh,India,17.4370061,78.4582306,Hotel,0,"['Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', 'Newspapers In Lobby', 'Parking Facility', 'Restaurant']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Video/ DVD/ CD Player Available', 'Ceiling Fan', 'Telephone', 'Shower Facility Available', 'Mineral Water', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Safe - In - Room ', 'Bidet', 'HD / LCD Satellite TV ', 'TV', 'Mirror', 'Attached Bathroom']"
